ID,ペア,is_sudden_severe,is_numbness,is_behavior,label_sudden_severe,label_numbness,label_behavior
sudden_severe_0_0001,"Dispatcher: 頭の痛みは、突然起こった激しい痛みですか？
Caller: はい、夫が急に頭を押さえて、今までにないくらい激しく痛むと言っています。",True,False,False,0,False,False
sudden_severe_0_0002,"Dispatcher: 頭痛は急に強く出た感じですか？
Caller: はい、同僚がさっきまで普通に話していたのに、急に割れるように頭が痛いと言って座り込びました。",True,False,False,0,False,False
sudden_severe_0_0003,"Dispatcher: 激しい頭痛が突然始まりましたか？
Caller: はい、母が突然ひどい頭痛が来たと言って、我慢できない様子です。",True,False,False,0,False,False
sudden_severe_0_0004,"Dispatcher: 急に我慢できないほどの頭痛が出たのですか？
Caller: はい、友人が入浴中にいきなり頭がガーンと痛くなったと言って、うずくまっています。",True,False,False,0,False,False
sudden_severe_0_0005,"Dispatcher: 頭の痛みは突然の強い痛みですか？
Caller: はい、父がテレビを見ていたら急にものすごく頭が痛いと言い出して、耐えられない様子です。",True,False,False,0,False,False
sudden_severe_1_0006,"Dispatcher: 頭の痛みは、突然起こった激しい痛みですか？
Caller: いいえ、朝から少しずつ痛くなってきたみたいで、急にひどくなった感じではありません。",True,False,False,1,False,False
sudden_severe_1_0007,"Dispatcher: いつもの軽い頭痛ということでよいですか？
Caller: そうです、姉は前からある頭痛に近いと言っていて、急に強くなったわけではないです。",True,False,False,1,False,False
sudden_severe_1_0008,"Dispatcher: 激しい痛みが突然起こりましたか？
Caller: いいえ、弟は昼ごろからだんだん痛くなったと言っていて、突然ではありません。",True,False,False,1,False,False
sudden_severe_1_0009,"Dispatcher: さっきまで普通だったのに、急に我慢できないほど頭が痛くなった感じですか？
Caller: いいえ、同僚は会議の途中から徐々に痛みが増しただけで、いきなりではないです。",True,False,False,1,False,False
sudden_severe_1_0010,"Dispatcher: いつもの軽い頭痛という感じですか？
Caller: はい、妻は前にもあるような頭痛で、急激に始まった強い痛みではないと言っています。",True,False,False,1,False,False
sudden_severe_2_0011,"Dispatcher: 激しい痛みが突然起こりましたか？
Caller: 激しい痛みが突然起こったかは分かりません。",True,False,False,2,False,False
sudden_severe_2_0012,"Dispatcher: いつもの軽い頭痛ということでよいですか？
Caller: そこまでは分かりません。急に強くなったのかどうか、まだ本人に確認できていません。",True,False,False,2,False,False
sudden_severe_2_0013,"Dispatcher: 頭の痛みについて何か分かることはありますか？
Caller: 頭が痛いとだけ連絡があって、突然だったのか激しいのかは分かりません。",True,False,False,2,False,False
sudden_severe_2_0014,"Dispatcher: 頭の痛みは、突然起こった激しい痛みですか？
Caller: すみません、本人から頭痛とだけ聞いていて、急に起きた強い痛みかどうかまでは分かりません。",True,False,False,2,False,False
sudden_severe_2_0015,"Dispatcher: さっきまで普通だったのに、急に耐えられないほど頭が痛くなった感じはありますか？
Caller: 息子からメッセージで頭が痛いと来ただけで、始まり方や痛みの強さまでは確認できていません。",True,False,False,2,False,False
sudden_severe_-1_0016,"Dispatcher: 手足のしびれや麻痺はありますか？
Caller: はい、夫は右腕と右足がしびれて力も入りにくいと言っています。",True,False,False,-1,False,False
sudden_severe_-1_0017,"Dispatcher: 何か変わったことはありますか？
Caller: はい、母が同じことを何度も聞いてきて、受け答えがいつもと違います。",True,False,False,-1,False,False
sudden_severe_-1_0018,"Dispatcher: 何か変わったことはありますか？
Caller: まだ電話で話しただけなので、普段と違う様子があるかは分かりません。",True,False,False,-1,False,False
sudden_severe_-1_0019,"Dispatcher: 片側の手足にしびれや動かしにくさはありますか？
Caller: いいえ、娘の手足は左右とも普通に動いていて、しびれもないと言っています。",True,False,False,-1,False,False
